Date,10_year_rate,3_months_rate,FEDFUNDS
2003-10,4.29,1.1,1.01
2003-11,4.3,1.11,1.0
2003-12,4.27,1.1,0.98
2004-01,4.15,1.06,1.0
2004-02,4.08,1.05,1.01
2004-03,3.83,1.05,1.0
2004-04,4.35,1.08,1.0
2004-05,4.72,1.2,1.0
2004-06,4.73,1.46,1.03
2004-07,4.5,1.57,1.26
2004-08,4.28,1.68,1.43
2004-09,4.13,1.86,1.61
2004-10,4.1,2.04,1.76
2004-11,4.19,2.26,1.93
2004-12,4.23,2.45,2.16
2005-01,4.22,2.61,2.28
2005-02,4.17,2.77,2.5
2005-03,4.5,2.97,2.63
2005-04,4.34,3.09,2.79
2005-05,4.14,3.22,3.0
2005-06,4.0,3.38,3.04
2005-07,4.18,3.57,3.26
2005-08,4.26,3.77,3.5
2005-09,4.2,3.87,3.62
2005-10,4.46,4.13,3.78
2005-11,4.54,4.31,4.0
2005-12,4.47,4.45,4.16
2006-01,4.42,4.56,4.29
2006-02,4.57,4.72,4.49
2006-03,4.72,4.88,4.59
2006-04,4.99,5.03,4.79
2006-05,5.11,5.15,4.94
2006-06,5.11,5.35,4.99
2006-07,5.09,5.46,5.24
2006-08,4.88,5.38,5.25
2006-09,4.72,5.34,5.25
2006-10,4.73,5.33,5.25
2006-11,4.6,5.32,5.25
2006-12,4.56,5.32,5.24
2007-01,4.76,5.32,5.25
2007-02,4.72,5.31,5.26
2007-03,4.56,5.3,5.26
2007-04,4.69,5.31,5.25
2007-05,4.75,5.31,5.25
2007-06,5.1,5.33,5.25
2007-07,5.0,5.32,5.26
2007-08,4.67,5.49,5.02
2007-09,4.52,5.46,4.94
2007-10,4.53,5.08,4.76
2007-11,4.15,4.97,4.49
2007-12,4.1,5.02,4.24
2008-01,3.74,3.84,3.94
2008-02,3.74,3.06,2.98
2008-03,3.51,2.79,2.61
2008-04,3.68,2.85,2.28
2008-05,3.88,2.66,1.98
2008-06,4.1,2.76,2.0
2008-07,4.01,2.79,2.01
2008-08,3.89,2.79,2.0
2008-09,3.69,3.59,1.81
2008-10,3.81,4.32,0.97
2008-11,3.53,2.36,0.39
2008-12,2.42,1.77,0.16
2009-01,2.52,1.02,0.15
2009-02,2.87,1.16,0.22
2009-03,2.82,1.07,0.18
2009-04,2.93,0.89,0.15
2009-05,3.29,0.57,0.18
2009-06,3.72,0.39,0.21
2009-07,3.56,0.35,0.16
2009-08,3.59,0.3,0.16
2009-09,3.4,0.25,0.15
2009-10,3.39,0.24,0.12
2009-11,3.4,0.21,0.12
2009-12,3.59,0.22,0.12
2010-01,3.73,0.2,0.11
2010-02,3.69,0.19,0.13
2010-03,3.73,0.23,0.16
2010-04,3.85,0.3,0.2
2010-05,3.42,0.45,0.2
2010-06,3.2,0.52,0.18
2010-07,3.01,0.41,0.18
2010-08,2.7,0.32,0.19
2010-09,2.65,0.28,0.19
2010-10,2.54,0.27,0.19
2010-11,2.76,0.27,0.19
2010-12,3.29,0.3,0.18
2011-01,3.39,0.29,0.17
2011-02,3.58,0.28,0.16
2011-03,3.41,0.28,0.14
2011-04,3.46,0.23,0.1
2011-05,3.17,0.21,0.09
2011-06,3.0,0.22,0.09
2011-07,3.0,0.24,0.07
2011-08,2.3,0.29,0.1
2011-09,1.98,0.33,0.08
2011-10,2.15,0.37,0.07
2011-11,2.01,0.41,0.08
2011-12,1.98,0.49,0.07
2012-01,1.97,0.4,0.08
2012-02,1.97,0.3,0.1
2012-03,2.17,0.29,0.13
2012-04,2.05,0.29,0.14
2012-05,1.8,0.29,0.16
2012-06,1.62,0.32,0.16
2012-07,1.53,0.3,0.16
2012-08,1.68,0.26,0.13
2012-09,1.72,0.24,0.14
2012-10,1.75,0.23,0.16
2012-11,1.65,0.23,0.16
2012-12,1.72,0.24,0.16
2013-01,1.91,0.23,0.14
2013-02,1.98,0.22,0.15
2013-03,1.96,0.21,0.14
2013-04,1.76,0.2,0.15
2013-05,1.93,0.2,0.11
2013-06,2.3,0.19,0.09
2013-07,2.58,0.14,0.09
2013-08,2.74,0.12,0.08
2013-09,2.81,0.11,0.08
2013-10,2.62,0.12,0.09
2013-11,2.72,0.12,0.08
2013-12,2.9,0.14,0.09
2014-01,2.86,0.12,0.07
